rowid,YD_sku,category,"	product_name",title,feature,img_1,img_2,home
1,CCC-033,PADDLES,Skydome,Skydome Full Carbon 3-Piece Adjustable SUP Paddle,Innovative Vortex Lock · Anti-Twist System · Sandblasted Matte Grip,images/products/paddles/CCC-033-1.png,images/products/paddles/CCC-033-2.png,0
2,V1,INFLATABLES,XXX,XXX,XXX,images/products/inflatables/V1-1.jpg,images/products/inflatables/V1-2.jpg,0
3,H3-1310,HYDROFOILS,Dolphin,Dolphin Hybrid Carbon Wings<br>All-Round Hydrofoil Set,Early & Stable Lift · Hydrodynamic Streamline · Carbon Fiber Wings,images/products/hydrofoils/H3-1310-1.jpg,images/products/hydrofoils/H3-1310-2.png,0
4,T1,HYDROFOILS,,Full Carbon Fiber Foil Board<br>T-Handlebar For Beginners,Enhanced Balance & Control · Foil Scooter Conversion · Non-Slip Ergonomic Grips,images/products/hydrofoils/T1-1.png,images/products/hydrofoils/T1-2.png,0
5,B4,BOARDS,Magnet,Magnet Foam-Core Full Carbon Hydrofoil Board,High Rigidity & Easy Carry · Universal Hydrofoil Mount · Non-Slip EVA Traction Pad,images/products/boards/B4-1.png,images/products/boards/B4-2.png,0
6,,ACCESSORIES,,Compact Double Action Hand Pump With Pressure Gauge,Inflate & Deflate Modes · Detachable Compact Design · Integrated Pressure Gauge,images/products/accessories/small-pump-1.jpg,images/products/accessories/small-pump-2.png,0
7,CCC-033,PADDLES,Laurel,Laurel Premium Full Carbon<br>5-Piece Kayak Paddle,Compact Storage · Multi-Angle Adjustable · High Stroke Efficiency,images/products/paddles/CCC-026-1.png,images/products/paddles/CCC-026-2.png,0
8,CCC-038,PADDLES,Virga,Virga Full Carbon 2-Piece Touring Greenland Paddle,Effortless Rolling & Bracing · Long-Distance Touring · Flatwater Efficiency,images/products/paddles/CCC-038-1.png,images/products/paddles/CCC-038-2.png,0
9,,PADDLES,Continent,Continent Aluminum 2-Piece Adjustable Land Paddle,Replaceable Rubber Tip · High-Grip Pavement Traction · Longboard & Skate Ready,images/products/paddles/land-paddle-1.png,images/products/paddles/land-paddle-2.png,0
10,CCC-022,PADDLES,Orient Ultra,Orient Ultra Full Carbon 2-Piece Adjustable Dragon Boat Paddle,Precise Length Adjust · Full Carbon Rigidity · Optimized For Racing,images/products/paddles/CCC-022-1.png,images/products/paddles/CCC-022-2.png,0
11,WWW-022,PADDLES,Orient,Orient Laminated Natural Wood 1-Piece Dragon Boat Paddle,Natural Wood Grain · Reinforced Blade Tip · Authentic Heritage Feel,images/products/paddles/WWW-022-1.png,images/products/paddles/WWW-022-2.png,0
12,PAP-028,PADDLES,Danube,Danube Aluminium 3-Piece Recreational Kayak Paddle,Cost-Effective & Durable · Beginner-Friendly · Ideal For Rental Fleets,images/products/paddles/PAP-028-1.png,images/products/paddles/PAP-028-2.png,0
13,,PADDLES,Carnival,Carnival Aluminum 2-Piece Adjustable SUP Polo Paddle,Precision Ball Handling · Hollow Blade · Quick Length Adjustment,images/products/paddles/polo-paddle-1.jpg,images/products/paddles/polo-paddle-2.png,0
14,PAP-023,PADDLES,Horizon,Horizon Aluminum 1-Piece Floating Canoe Paddle,Floating Foam Grip · Ergonomic T-Grip · Ideal For Rental Fleets,images/products/paddles/PAP-023-1.png,images/products/paddles/PAP-023-2.png,0
15,CCC-036,PADDLES,Alps,Alps Full Carbon Bent-Shaft<br>2-Piece Kayak Paddle,High-Angle Stroke Power · Ergonomic Bent Shaft · Touring & Whitewater Ready,images/products/paddles/CCC-036-1.jpg,images/products/paddles/CCC-036-2.png,0
16,,ACCESSORIES,,Classic High-Elastic TPU SUP & Surfboard Coiled Leash,High-Elastic TPU Cord · Anti-Tangle Coiled Design · Padded Neoprene Cuff,images/products/accessories/coiled-leash-1.png,images/products/accessories/coiled-leash-2.png,0
17,,ACCESSORIES,Tailwind-R,Tailwind-R Foldable Pop-Up Round Kayak Wind Sail,Waterproof Ripstop Fabric · Energy-Saving Cruising · Ultra-Compact Storage,images/products/accessories/round-kayak-sail-1.png,images/products/accessories/round-kayak-sail-2.png,0
18,,ACCESSORIES,Tailwind-Arc,Tailwind-Arc Foldable Pop-Up Oval Kayak Wind Sail,Oval Arch Canopy · Panoramic Clear Window · Broad Wind Catch,images/products/accessories/oval-kayak-sail-1.png,images/products/accessories/oval-kayak-sail-2.png,0
19,,ACCESSORIES,Aegis,Aegis Waterproof Adjustable Nylon Kayak Spray Skirt,Keeps Cockpit Dry · Adjustable Elastic & Velcro Waist · Quick-Release Safety Grab Loop,images/products/accessories/spray-skirt-1.png,images/products/accessories/spray-skirt-2.png,0
